number of cameras: 16 ,number of points: 6 ,number of observations: 52, method: LM
camera id = 9, point id = 5, error_u = 1.968746, error_v = 0.885601
camera id = 10, point id = 5, error_u = 1.194062, error_v = 1.498059
camera id = 13, point id = 5, error_u = -0.399822, error_v = -0.949431
camera id = 15, point id = 5, error_u = -0.538332, error_v = 0.993050
unsuccessful step! iteration = 7, error before = 623.945391, error next = 2922.463372, lambda = 1.000000

camera id = 0, point id = 0, error_u = -0.761223, error_v = -0.398201
camera id = 1, point id = 0, error_u = -0.551028, error_v = 0.539969
camera id = 2, point id = 0, error_u = -3.405736, error_v = -3.775772
camera id = 7, point id = 0, error_u = -2.195351, error_v = 0.378162
camera id = 12, point id = 0, error_u = 6.718428, error_v = -3.073315
camera id = 13, point id = 0, error_u = 0.030333, error_v = 0.200208
camera id = 0, point id = 1, error_u = -0.014897, error_v = -0.149658
camera id = 1, point id = 1, error_u = 1.179448, error_v = -2.154364
camera id = 10, point id = 1, error_u = 2.889945, error_v = 2.145240
camera id = 0, point id = 2, error_u = -0.817069, error_v = -0.747880
camera id = 1, point id = 2, error_u = 4.582314, error_v = -1.660849
camera id = 2, point id = 2, error_u = -4.197956, error_v = -3.973366
camera id = 6, point id = 2, error_u = 0.202709, error_v = -0.878617
camera id = 7, point id = 2, error_u = -8.148232, error_v = -2.645363
camera id = 9, point id = 2, error_u = 5.041753, error_v = -0.981117
camera id = 10, point id = 2, error_u = 7.798233, error_v = 4.090990
camera id = 12, point id = 2, error_u = -2.352657, error_v = 0.738854
camera id = 13, point id = 2, error_u = 0.360652, error_v = -0.563946
camera id = 15, point id = 2, error_u = 1.727244, error_v = 1.541721
camera id = 0, point id = 3, error_u = -0.799482, error_v = -0.922165
camera id = 1, point id = 3, error_u = 4.527638, error_v = -1.860462
camera id = 2, point id = 3, error_u = -4.493455, error_v = -4.031352
camera id = 6, point id = 3, error_u = -0.028226, error_v = -0.874147
camera id = 7, point id = 3, error_u = -8.275889, error_v = -2.654732
camera id = 8, point id = 3, error_u = -0.383309, error_v = -1.764166
camera id = 9, point id = 3, error_u = 4.646521, error_v = -1.069610
camera id = 10, point id = 3, error_u = 7.568299, error_v = 3.893196
camera id = 12, point id = 3, error_u = -2.418169, error_v = 0.663206
camera id = 15, point id = 3, error_u = 1.850490, error_v = 1.171683
camera id = 0, point id = 4, error_u = -0.377464, error_v = 0.549295
camera id = 1, point id = 4, error_u = 2.687283, error_v = 1.163496
camera id = 2, point id = 4, error_u = -3.403121, error_v = -0.970002
camera id = 3, point id = 4, error_u = -10.373920, error_v = -2.525441
camera id = 5, point id = 4, error_u = 1.436471, error_v = -0.152261
camera id = 6, point id = 4, error_u = -1.812044, error_v = 1.593508
camera id = 8, point id = 4, error_u = 0.685178, error_v = -0.707670
camera id = 9, point id = 4, error_u = 4.028665, error_v = 0.186414
camera id = 11, point id = 4, error_u = -0.042277, error_v = -0.104447
camera id = 13, point id = 4, error_u = -0.110445, error_v = -0.201517
camera id = 14, point id = 4, error_u = -0.141597, error_v = -0.039520
camera id = 0, point id = 5, error_u = -0.290755, error_v = -0.580966
camera id = 1, point id = 5, error_u = 1.558289, error_v = -0.463265
camera id = 3, point id = 5, error_u = -14.563823, error_v = -13.151998
camera id = 4, point id = 5, error_u = -1.792092, error_v = -0.074522
camera id = 5, point id = 5, error_u = 1.055469, error_v = -1.199368
camera id = 6, point id = 5, error_u = -3.138382, error_v = 0.255478
camera id = 7, point id = 5, error_u = -7.233589, error_v = -2.130519
camera id = 8, point id = 5, error_u = -3.300411, error_v = -1.719397
camera id = 9, point id = 5, error_u = 1.968746, error_v = 0.885601
camera id = 10, point id = 5, error_u = 1.194062, error_v = 1.498059
camera id = 13, point id = 5, error_u = -0.399822, error_v = -0.949431
camera id = 15, point id = 5, error_u = -0.538332, error_v = 0.993050
unsuccessful step! iteration = 8, error before = 623.945391, error next = 1888.755088, lambda = 10.000000

camera id = 0, point id = 0, error_u = -0.761223, error_v = -0.398201
camera id = 1, point id = 0, error_u = -0.551028, error_v = 0.539969
camera id = 2, point id = 0, error_u = -3.405736, error_v = -3.775772
camera id = 7, point id = 0, error_u = -2.195351, error_v = 0.378162
camera id = 12, point id = 0, error_u = 6.718428, error_v = -3.073315
camera id = 13, point id = 0, error_u = 0.030333, error_v = 0.200208
camera id = 0, point id = 1, error_u = -0.014897, error_v = -0.149658
camera id = 1, point id = 1, error_u = 1.179448, error_v = -2.154364
camera id = 10, point id = 1, error_u = 2.889945, error_v = 2.145240
camera id = 0, point id = 2, error_u = -0.817069, error_v = -0.747880
camera id = 1, point id = 2, error_u = 4.582314, error_v = -1.660849
camera id = 2, point id = 2, error_u = -4.197956, error_v = -3.973366
camera id = 6, point id = 2, error_u = 0.202709, error_v = -0.878617
camera id = 7, point id = 2, error_u = -8.148232, error_v = -2.645363
camera id = 9, point id = 2, error_u = 5.041753, error_v = -0.981117
camera id = 10, point id = 2, error_u = 7.798233, error_v = 4.090990
camera id = 12, point id = 2, error_u = -2.352657, error_v = 0.738854
camera id = 13, point id = 2, error_u = 0.360652, error_v = -0.563946
camera id = 15, point id = 2, error_u = 1.727244, error_v = 1.541721
camera id = 0, point id = 3, error_u = -0.799482, error_v = -0.922165
camera id = 1, point id = 3, error_u = 4.527638, error_v = -1.860462
camera id = 2, point id = 3, error_u = -4.493455, error_v = -4.031352
camera id = 6, point id = 3, error_u = -0.028226, error_v = -0.874147
camera id = 7, point id = 3, error_u = -8.275889, error_v = -2.654732
camera id = 8, point id = 3, error_u = -0.383309, error_v = -1.764166
camera id = 9, point id = 3, error_u = 4.646521, error_v = -1.069610
camera id = 10, point id = 3, error_u = 7.568299, error_v = 3.893196
camera id = 12, point id = 3, error_u = -2.418169, error_v = 0.663206
camera id = 15, point id = 3, error_u = 1.850490, error_v = 1.171683
camera id = 0, point id = 4, error_u = -0.377464, error_v = 0.549295
camera id = 1, point id = 4, error_u = 2.687283, error_v = 1.163496
camera id = 2, point id = 4, error_u = -3.403121, error_v = -0.970002
camera id = 3, point id = 4, error_u = -10.373920, error_v = -2.525441
camera id = 5, point id = 4, error_u = 1.436471, error_v = -0.152261
camera id = 6, point id = 4, error_u = -1.812044, error_v = 1.593508
camera id = 8, point id = 4, error_u = 0.685178, error_v = -0.707670
camera id = 9, point id = 4, error_u = 4.028665, error_v = 0.186414
camera id = 11, point id = 4, error_u = -0.042277, error_v = -0.104447
camera id = 13, point id = 4, error_u = -0.110445, error_v = -0.201517
camera id = 14, point id = 4, error_u = -0.141597, error_v = -0.039520
camera id = 0, point id = 5, error_u = -0.290755, error_v = -0.580966
camera id = 1, point id = 5, error_u = 1.558289, error_v = -0.463265
camera id = 3, point id = 5, error_u = -14.563823, error_v = -13.151998
camera id = 4, point id = 5, error_u = -1.792092, error_v = -0.074522
camera id = 5, point id = 5, error_u = 1.055469, error_v = -1.199368
camera id = 6, point id = 5, error_u = -3.138382, error_v = 0.255478
camera id = 7, point id = 5, error_u = -7.233589, error_v = -2.130519
camera id = 8, point id = 5, error_u = -3.300411, error_v = -1.719397
camera id = 9, point id = 5, error_u = 1.968746, error_v = 0.885601
camera id = 10, point id = 5, error_u = 1.194062, error_v = 1.498059
camera id = 13, point id = 5, error_u = -0.399822, error_v = -0.949431
camera id = 15, point id = 5, error_u = -0.538332, error_v = 0.993050
unsuccessful step! iteration = 9, error before = 623.945391, error next = 1012.602290, lambda = 100.000000

camera id = 0, point id = 0, error_u = -0.761223, error_v = -0.398201
camera id = 1, point id = 0, error_u = -0.551028, error_v = 0.539969
camera id = 2, point id = 0, error_u = -3.405736, error_v = -3.775772
camera id = 7, point id = 0, error_u = -2.195351, error_v = 0.378162
camera id = 12, point id = 0, error_u = 6.718428, error_v = -3.073315
camera id = 13, point id = 0, error_u = 0.030333, error_v = 0.200208
camera id = 0, point id = 1, error_u = -0.014897, error_v = -0.149658
camera id = 1, point id = 1, error_u = 1.179448, error_v = -2.154364
camera id = 10, point id = 1, error_u = 2.889945, error_v = 2.145240
camera id = 0, point id = 2, error_u = -0.817069, error_v = -0.747880
camera id = 1, point id = 2, error_u = 4.582314, error_v = -1.660849
camera id = 2, point id = 2, error_u = -4.197956, error_v = -3.973366
camera id = 6, point id = 2, error_u = 0.202709, error_v = -0.878617
camera id = 7, point id = 2, error_u = -8.148232, error_v = -2.645363
camera id = 9, point id = 2, error_u = 5.041753, error_v = -0.981117
camera id = 10, point id = 2, error_u = 7.798233, error_v = 4.090990
camera id = 12, point id = 2, error_u = -2.352657, error_v = 0.738854
camera id = 13, point id = 2, error_u = 0.360652, error_v = -0.563946
camera id = 15, point id = 2, error_u = 1.727244, error_v = 1.541721
camera id = 0, point id = 3, error_u = -0.799482, error_v = -0.922165
camera id = 1, point id = 3, error_u = 4.527638, error_v = -1.860462
camera id = 2, point id = 3, error_u = -4.493455, error_v = -4.031352
camera id = 6, point id = 3, error_u = -0.028226, error_v = -0.874147
camera id = 7, point id = 3, error_u = -8.275889, error_v = -2.654732
camera id = 8, point id = 3, error_u = -0.383309, error_v = -1.764166
camera id = 9, point id = 3, error_u = 4.646521, error_v = -1.069610
camera id = 10, point id = 3, error_u = 7.568299, error_v = 3.893196
camera id = 12, point id = 3, error_u = -2.418169, error_v = 0.663206
camera id = 15, point id = 3, error_u = 1.850490, error_v = 1.171683
camera id = 0, point id = 4, error_u = -0.377464, error_v = 0.549295
camera id = 1, point id = 4, error_u = 2.687283, error_v = 1.163496
camera id = 2, point id = 4, error_u = -3.403121, error_v = -0.970002
camera id = 3, point id = 4, error_u = -10.373920, error_v = -2.525441
camera id = 5, point id = 4, error_u = 1.436471, error_v = -0.152261
camera id = 6, point id = 4, error_u = -1.812044, error_v = 1.593508
camera id = 8, point id = 4, error_u = 0.685178, error_v = -0.707670
camera id = 9, point id = 4, error_u = 4.028665, error_v = 0.186414
camera id = 11, point id = 4, error_u = -0.042277, error_v = -0.104447
camera id = 13, point id = 4, error_u = -0.110445, error_v = -0.201517
camera id = 14, point id = 4, error_u = -0.141597, error_v = -0.039520
camera id = 0, point id = 5, error_u = -0.290755, error_v = -0.580966
camera id = 1, point id = 5, error_u = 1.558289, error_v = -0.463265
camera id = 3, point id = 5, error_u = -14.563823, error_v = -13.151998
camera id = 4, point id = 5, error_u = -1.792092, error_v = -0.074522
camera id = 5, point id = 5, error_u = 1.055469, error_v = -1.199368
camera id = 6, point id = 5, error_u = -3.138382, error_v = 0.255478
camera id = 7, point id = 5, error_u = -7.233589, error_v = -2.130519
camera id = 8, point id = 5, error_u = -3.300411, error_v = -1.719397
camera id = 9, point id = 5, error_u = 1.968746, error_v = 0.885601
camera id = 10, point id = 5, error_u = 1.194062, error_v = 1.498059
camera id = 13, point id = 5, error_u = -0.399822, error_v = -0.949431
camera id = 15, point id = 5, error_u = -0.538332, error_v = 0.993050
successful step! iteration = 10, error before = 623.945391, error next = 597.426238, lambda = 10.000000

camera id = 0, point id = 0, error_u = -0.634521, error_v = -0.309654
camera id = 1, point id = 0, error_u = -0.174776, error_v = 0.830981
camera id = 2, point id = 0, error_u = -2.972560, error_v = -3.425438
camera id = 7, point id = 0, error_u = -1.475568, error_v = 0.636857
camera id = 12, point id = 0, error_u = 7.212690, error_v = -2.545128
camera id = 13, point id = 0, error_u = 0.155121, error_v = 0.239490
camera id = 0, point id = 1, error_u = 0.011138, error_v = -0.042796
camera id = 1, point id = 1, error_u = 1.858393, error_v = -1.914105
camera id = 10, point id = 1, error_u = 2.801609, error_v = 2.764106
camera id = 0, point id = 2, error_u = -0.783865, error_v = -0.706804
camera id = 1, point id = 2, error_u = 5.400746, error_v = -1.435396
camera id = 2, point id = 2, error_u = -3.983114, error_v = -3.876685
camera id = 6, point id = 2, error_u = 0.123557, error_v = -0.512268
camera id = 7, point id = 2, error_u = -7.503451, error_v = -2.987318
camera id = 9, point id = 2, error_u = 0.895659, error_v = -2.531708
camera id = 10, point id = 2, error_u = 7.734956, error_v = 4.716282
camera id = 12, point id = 2, error_u = -1.420383, error_v = 0.994280
camera id = 13, point id = 2, error_u = 0.512082, error_v = -0.567092
camera id = 15, point id = 2, error_u = 1.885899, error_v = 1.579626
camera id = 0, point id = 3, error_u = -0.773751, error_v = -0.872371
camera id = 1, point id = 3, error_u = 5.335898, error_v = -1.629568
camera id = 2, point id = 3, error_u = -4.291961, error_v = -3.928740
camera id = 6, point id = 3, error_u = -0.116693, error_v = -0.503327
camera id = 7, point id = 3, error_u = -7.644428, error_v = -2.987090
camera id = 8, point id = 3, error_u = -0.121683, error_v = -1.393063
camera id = 9, point id = 3, error_u = 0.496136, error_v = -2.588208
camera id = 10, point id = 3, error_u = 7.496952, error_v = 4.523488
camera id = 12, point id = 3, error_u = -1.500682, error_v = 0.915123
camera id = 15, point id = 3, error_u = 1.996493, error_v = 1.219367
camera id = 0, point id = 4, error_u = -0.351315, error_v = 0.698508
camera id = 1, point id = 4, error_u = 3.257510, error_v = 1.666384
camera id = 2, point id = 4, error_u = -3.140491, error_v = -0.721640
camera id = 3, point id = 4, error_u = -10.371199, error_v = -2.292168
camera id = 5, point id = 4, error_u = 1.277024, error_v = 0.039512
camera id = 6, point id = 4, error_u = -2.080756, error_v = 2.063155
camera id = 8, point id = 4, error_u = 0.728245, error_v = -0.335056
camera id = 9, point id = 4, error_u = 1.263465, error_v = -1.328041
camera id = 11, point id = 4, error_u = -0.446629, error_v = 0.091541
camera id = 13, point id = 4, error_u = -0.039246, error_v = -0.081317
camera id = 14, point id = 4, error_u = -0.580354, error_v = 0.090643
camera id = 0, point id = 5, error_u = -0.308383, error_v = -0.612412
camera id = 1, point id = 5, error_u = 2.070493, error_v = -0.279465
camera id = 3, point id = 5, error_u = -14.234527, error_v = -13.253397
camera id = 4, point id = 5, error_u = -1.554548, error_v = -0.014794
camera id = 5, point id = 5, error_u = 0.593777, error_v = -1.192406
camera id = 6, point id = 5, error_u = -3.549328, error_v = 0.357933
camera id = 7, point id = 5, error_u = -6.481974, error_v = -2.408915
camera id = 8, point id = 5, error_u = -3.241779, error_v = -1.583146
camera id = 9, point id = 5, error_u = -2.482903, error_v = -2.764393
camera id = 10, point id = 5, error_u = 0.944683, error_v = 1.885316
camera id = 13, point id = 5, error_u = -0.411870, error_v = -1.086824
camera id = 15, point id = 5, error_u = -0.483829, error_v = 0.918837
unsuccessful step! iteration = 11, error before = 597.426238, error next = 643.177419, lambda = 100.000000

camera id = 0, point id = 0, error_u = -0.634521, error_v = -0.309654
camera id = 1, point id = 0, error_u = -0.174776, error_v = 0.830981
camera id = 2, point id = 0, error_u = -2.972560, error_v = -3.425438
